date_received,product,subproduct,issue,subissue,consumer_complaint_narrative,company_public_response,company_name,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
12/8/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"We constantly receive voice messages from ERC, early in the morning, late in the evenings, during the weekends, for collecting debts we do not have. 
The voicemail give a reference number and we have been advised not to contact them as they would do anything to make us pay something we do n't owe. We are non-residents in the US and have no credits, no debts anywhere.",Company believes it acted appropriately as authorized by contract or law,ERC,MD,20814,,Consent provided,Web,1/4/2016,Closed with non-monetary relief,TRUE,FALSE,1687460
1/22/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,KY,40353,,,Web,1/22/2015,Closed with explanation,TRUE,FALSE,1204699
8/18/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,NV,89031,,,Web,8/20/2014,Closed with non-monetary relief,TRUE,FALSE,988831
7/30/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,OH,45503,,,Web,7/30/2014,Closed with non-monetary relief,TRUE,FALSE,959923
3/24/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,MN,55423,,Consent not provided,Web,3/24/2016,Closed with non-monetary relief,TRUE,FALSE,1849055
4/12/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,Enhanced Recovery Company submitted a collection on all XXXX of my credit reports stating I owe {$670.00} from a XXXX Cable/Cellular bill. I knew I did n't owe XXXX anything and called them to verify and they verified I was all clear of any debt. They were not aware of sending anything to ERC as a collection on my account. I have called ERC and they could n't find anything on me with what information I was giving them. Which proves its not me that the debt belongs to. I have disputed it with all credit bureaus and have not heard of anything. I have since applied for credit and have been denied due to Severe delinquency and debt collection on my credit reports. I have always had good payment history never late on my bills. This is affecting my credit score and is becoming a big nucense. I have read other customer complaints dealing with this same issue and it looks like it could be a scam. I am not getting anywhere with the credit bureaus and need this removed from my credit reports. Please help.,,ERC,TX,77571,,Consent provided,Web,4/12/2015,Closed with non-monetary relief,TRUE,FALSE,1326447
3/6/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,TN,37211,,,Web,3/6/2015,Closed with non-monetary relief,TRUE,FALSE,1271990
9/14/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,NC,27215,Servicemember,,Web,9/18/2014,Closed with non-monetary relief,TRUE,FALSE,1027932
8/28/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I get a phone call on my cell phone, almost every other day, from XXXX. My phone only rings once. I 've Googled the number and learned that they are a a debt collector. I have no outstanding debt. I have a credit score of XXXX. 
The XXXX call began XXXX XXXX, 2015. 
I want the calls stopped and any assistance you can provide would be very much appreciated. 
Sincerely, Frustrated",Company can't verify or dispute the facts in the complaint,ERC,IN,47501,,Consent provided,Web,9/4/2015,Closed with explanation,TRUE,FALSE,1541991
5/28/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"XXXX is charging for equipment which was picked up at the time of disconnection. The equipment was handed over to the technician. I have continuously disputed this on many occassions, yet they continue to report this debt. I have asked for the debt collection company to request proof, yet they do not send me anything. I am furious because they are allowed to report this debt, yet are not able to provide any proof as I have requested previously. I want to file a complaint against Enhanced Recovery company and XXXX as well.",Company believes it acted appropriately as authorized by contract or law,ERC,FL,33018,,Consent provided,Web,6/1/2015,Closed with non-monetary relief,TRUE,FALSE,1396114
4/15/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"received collections notice that company was collecting a debt for XXXX XXXX XXXX, offering me XXXX payment options, none of which equaled the amount I "" owed ''. i called XXXX XXXX XXXX and verified that my account was completely up to date.",,ERC,NV,89408,,Consent provided,Web,4/16/2015,Closed with non-monetary relief,TRUE,FALSE,1330522
2/18/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,VA,24018,"Older American, Servicemember",,Web,2/18/2015,Closed with explanation,TRUE,FALSE,1245558
4/7/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"On Friday, XX/XX/2017 I just received in the U.S. mail my annual "" FREE '' copy of my "" XXXX '' per my Due Process rights under the "" Federal Fair Credit Act. '' Under the "" Collection Agency Information '' there is a false collection debt entry by a "" ERC ; XXXX, Florida ; XXXX ; ( XXXX ) XXXX. '' It also falsely noted : "" Collection Reported XXXX '' for "" XXXX '' for "" $ XXXX. '' NOTE : This is the 3rd time that this "" ERC '' collection agency has unlawfully noted this false debt collection onto my "" XXXX '' without ever having contacted me in the last 2 years. I called them up on their toll free number ( XXXX ) XXXX and politely explained the facts. Their only telephonic response was "" Pay the XXXX the {$760.00}, XXXX and we 'll delete it off your XXXX credit file. '' I explained to them again that I 've had "" XXXX '' for over XXXX consecutive years and NEVER XXXX That this debt is NOT mine and that I 'm a victim of Identity Theft. '' They then just rudely hung up on me.",Company believes it acted appropriately as authorized by contract or law,ERC,CA,91764.0,,Consent provided,Web,4/10/2017,Closed,TRUE,FALSE,2424563
7/1/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,ERC,KY,40216,,,Web,7/1/2014,Closed with non-monetary relief,TRUE,TRUE,919012
5/18/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,ERC,CA,90057.0,Older American,,Phone,5/18/2016,Closed with non-monetary relief,TRUE,FALSE,1930383
4/27/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I have been monitoring my credit report and scores continuously for the last two years. I noticed in XX/XX/XXXX that XXXX accounts XXXX under ENHANCED RECOVERY COMPANY ( XXXX from XXXX XXXX XXXX and the other from XXXX XXXX ) were on all XXXX of my credit report in collection status. This has dramatically declined my credit, so I started to investigate these alleged accounts. They claim the first account XXXX XXXX XXXX XXXX ) was placed for collecton on XX/XX/XXXX. They claim the second account ( XXXX XXXX ) was placed for collection on XX/XX/XXXX. I have lived with relatives, and have NOT opened any cable/cellular accounts in over 7 years. So I started the dispute process with all the credit bureaus.I disputed in XX/XX/XXXX, no changes were made. I disputed again, I got the next results on XX/XX/XXXX, still ENHANCED RECOVERY COMPANY did not remove or validate these alleged accounts The only change made was the DATE UPDATED date was updated to the day they received the dispute. Next I started working with a credit repair company, they sent out another round of disputes, I recieved the dispute results on XX/XX/XXXX. Unfortunately, ENHANCED RECOVERY COMPANY still did not validate the accounts or remove them and no changes were made. Now I am taking it a step farther. I am sending a certified debt validation letter to their company, of which I will keep the receipt. I will also be attaching the debt validation letter, and also the copies of the dispute investigation results over the past few months. I have also contacted the XXXX and your organization as of now. Please assist me with this matter. Thank you for your time.",,ERC,TN,37355,,Consent provided,Web,5/1/2015,Closed with non-monetary relief,TRUE,TRUE,1349309
